,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
90,911B6F71706854496582414BB897B597,EB4A4863AB683849ECB36B9B90DA76A6,VTS,1,,2013-01-13 16:33:00,2013-01-13 16:41:00,1,480,1.53,-73.987892,40.749451,-73.968666,40.752983,CRD,7.5,0.0,0.5,2.25,0.0,10.25
91,D9D2E5D0BA741A948E1FED41C3D0DE90,CAC19554659C889B5DB4DDA571B5708E,VTS,1,,2013-01-13 16:32:00,2013-01-13 16:43:00,1,660,3.2,-73.982956,40.756264,-73.94916500000001,40.776768,CRD,12.0,0.0,0.5,1.5,0.0,14.0
92,469D00BF7528BDD0ED6D10E1BD9AEC79,23F5E8FB4BC7E65E825E8484A596C45C,VTS,1,,2013-01-13 15:49:00,2013-01-13 16:01:00,3,720,2.22,-73.99101999999999,40.749611,-73.989731,40.724606,CSH,10.0,0.0,0.5,0.0,0.0,10.5
93,DEC6A3CCDA136951764B120CD09018A6,5400A8B9D24B65FCB4825CE496908B3D,VTS,1,,2013-01-13 17:47:00,2013-01-13 17:59:00,1,720,4.86,-73.96736899999999,40.803546999999995,-73.93943,40.841362,CSH,16.0,0.0,0.5,0.0,0.0,16.5
94,A786A56A2051ABE01B9B6668652D3C40,EF878C511BEC047F27C93BAFFE74674D,CMT,1,N,2013-01-19 16:56:57,2013-01-19 17:07:12,2,615,2.6,-73.98217,40.727962,-73.96122700000001,40.760139,CRD,10.5,0.0,0.5,1.11,0.0,12.11
95,3246AA03B718062309B61CEFEDA6C60A,1A7462AB04AD399BCC71660ED8FA834F,VTS,1,,2013-01-13 15:28:00,2013-01-13 15:34:00,6,360,0.69,-73.98806,40.740891,-73.991005,40.748486,CRD,5.5,0.0,0.5,1.1,0.0,7.1
96,AEDFC1DA9188EB20AE5522CDA42BD80B,689102B8BD01C82FC9EC69EB72FEF34D,VTS,1,,2013-01-13 16:30:00,2013-01-13 16:47:00,1,1020,8.51,-73.86267099999999,40.768833,-73.94561,40.778090999999996,CRD,25.5,0.0,0.5,5.1,4.8,35.9
97,799CD2E1B3B9298274906B68D9E34C18,E01173215F32D249D3BB5C802F4CEF4D,VTS,1,,2013-01-13 16:43:00,2013-01-13 16:49:00,6,360,1.92,-73.965019,40.761669,-73.94935600000001,40.784985,CRD,7.5,0.0,0.5,1.5,0.0,9.5
98,BB02801F232FE86D4F1897BAF69D4AA8,76161B31E25157FEAE86D0CD8D454C5C,VTS,1,,2013-01-13 17:51:00,2013-01-13 18:03:00,1,720,2.79,-73.99002800000001,40.767376,-73.994934,40.741367,CSH,11.0,0.0,0.5,0.0,0.0,11.5
99,7426D49131D418B73D76B341C69394E7,75EF0CF4C32C74B9DB24074C5176F6DF,VTS,1,,2013-01-13 14:09:00,2013-01-13 14:14:00,1,300,1.13,-73.954941,40.773518,-73.957199,40.76218,CSH,5.5,0.0,0.5,0.0,0.0,6.0
